"","name","elected","ideology","list","party_member","party","age","sex","educ"
"2535","encuestado_1603",NA,"-0.594405930047379",NA,NA,NA,NA,NA,NA
"2536","encuestado_1604",NA,"-0.0324406010931246",NA,NA,NA,NA,NA,NA
"2537","encuestado_1605",NA,"0.839458666313351",NA,NA,NA,NA,NA,NA
"2538","encuestado_1606",NA,"-0.655168055284344",NA,NA,NA,NA,NA,NA
"2539","encuestado_1607",NA,"-0.967749519491029",NA,NA,NA,NA,NA,NA
"2540","encuestado_1608",NA,"-0.880728820898088",NA,NA,NA,NA,NA,NA
"2541","encuestado_1609",NA,"-1.19331894903513",NA,NA,NA,NA,NA,NA
"2542","encuestado_1610",NA,"0.857660551025796",NA,NA,NA,NA,NA,NA
"2543","encuestado_1611",NA,"0.856590900115505",NA,NA,NA,NA,NA,NA
"2544","encuestado_1612",NA,"-0.973657453554589",NA,NA,NA,NA,NA,NA
"2545","encuestado_1613",NA,"-0.396287009857787",NA,NA,NA,NA,NA,NA
"2546","encuestado_1614",NA,"-1.09001621566402",NA,NA,NA,NA,NA,NA
"2547","encuestado_1615",NA,"-0.849708559717656",NA,NA,NA,NA,NA,NA
"2548","encuestado_1616",NA,"0.945485536762414",NA,NA,NA,NA,NA,NA
"2549","encuestado_1617",NA,"-0.694521673793928",NA,NA,NA,NA,NA,NA
"2550","encuestado_1618",NA,"-0.145881862766386",NA,NA,NA,NA,NA,NA
"2551","encuestado_1619",NA,"-1.22700702741843",NA,NA,NA,NA,NA,NA
"2552","encuestado_1620",NA,"-0.402212342049282",NA,NA,NA,NA,NA,NA
"2553","encuestado_1621",NA,"1.00957511605827",NA,NA,NA,NA,NA,NA
"2554","encuestado_1622",NA,"0.878325373319424",NA,NA,NA,NA,NA,NA
"2555","encuestado_1623",NA,"1.21428131404257",NA,NA,NA,NA,NA,NA
"2556","encuestado_1624",NA,"0.70149820528004",NA,NA,NA,NA,NA,NA
"2557","encuestado_1625",NA,"-0.0592784530645512",NA,NA,NA,NA,NA,NA
"2558","encuestado_1626",NA,"-1.02641728926014",NA,NA,NA,NA,NA,NA
"2559","encuestado_1627",NA,"1.07452956900109",NA,NA,NA,NA,NA,NA
"2560","encuestado_1628",NA,"0.768507934917008",NA,NA,NA,NA,NA,NA
"2561","encuestado_1629",NA,"1.32040030398093",NA,NA,NA,NA,NA,NA
"2562","encuestado_1630",NA,"0.691860104834818",NA,NA,NA,NA,NA,NA
"2563","encuestado_1631",NA,"-0.847164504892054",NA,NA,NA,NA,NA,NA
"2564","encuestado_1632",NA,"-0.994381077197264",NA,NA,NA,NA,NA,NA
"2565","encuestado_1633",NA,"1.87119940698838",NA,NA,NA,NA,NA,NA
"2566","encuestado_1634",NA,"-0.313848929925074",NA,NA,NA,NA,NA,NA
"2567","encuestado_1635",NA,"-0.74032080109344",NA,NA,NA,NA,NA,NA
"2568","encuestado_1636",NA,"-0.066658833289981",NA,NA,NA,NA,NA,NA
"2569","encuestado_1637",NA,"-0.879287664987316",NA,NA,NA,NA,NA,NA
"2570","encuestado_1638",NA,"-1.48997348181857",NA,NA,NA,NA,NA,NA
"2571","encuestado_1639",NA,"0.792932111940882",NA,NA,NA,NA,NA,NA
"2572","encuestado_1640",NA,"-0.224497607811301",NA,NA,NA,NA,NA,NA
"2573","encuestado_1641",NA,"0.679404736166681",NA,NA,NA,NA,NA,NA
"2574","encuestado_1642",NA,"-0.329829067929593",NA,NA,NA,NA,NA,NA
"2575","encuestado_1643",NA,"0.753293707730394",NA,NA,NA,NA,NA,NA
"2576","encuestado_1644",NA,"-0.98136142611643",NA,NA,NA,NA,NA,NA
"2577","encuestado_1645",NA,"0.53472423834565",NA,NA,NA,NA,NA,NA
"2578","encuestado_1646",NA,"-0.933974034350914",NA,NA,NA,NA,NA,NA
"2579","encuestado_1647",NA,"-0.207370880207655",NA,NA,NA,NA,NA,NA
"2580","encuestado_1648",NA,"-1.31059291833909",NA,NA,NA,NA,NA,NA
"2581","encuestado_1649",NA,"-1.27428793835006",NA,NA,NA,NA,NA,NA
"2582","encuestado_1650",NA,"-0.241911693549737",NA,NA,NA,NA,NA,NA
"2583","encuestado_1651",NA,"-0.842789437008595",NA,NA,NA,NA,NA,NA
"2584","encuestado_1652",NA,"-1.05683969160423",NA,NA,NA,NA,NA,NA
"2585","encuestado_1653",NA,"-0.80820172209337",NA,NA,NA,NA,NA,NA
"2586","encuestado_1654",NA,"-0.847920568583455",NA,NA,NA,NA,NA,NA
"2587","encuestado_1655",NA,"1.96002847907947",NA,NA,NA,NA,NA,NA
"2588","encuestado_1656",NA,"0.703984105674273",NA,NA,NA,NA,NA,NA
"2589","encuestado_1657",NA,"-0.476235336632003",NA,NA,NA,NA,NA,NA
"2590","encuestado_1658",NA,"-1.38618641673901",NA,NA,NA,NA,NA,NA
"2591","encuestado_1659",NA,"0.986088166695403",NA,NA,NA,NA,NA,NA
"2592","encuestado_1660",NA,"1.46396472202736",NA,NA,NA,NA,NA,NA
"2593","encuestado_1661",NA,"-0.569366274124282",NA,NA,NA,NA,NA,NA
"2594","encuestado_1662",NA,"-0.906992535889745",NA,NA,NA,NA,NA,NA
"2595","encuestado_1663",NA,"-0.711966092558718",NA,NA,NA,NA,NA,NA
"2596","encuestado_1664",NA,"0.796189297976231",NA,NA,NA,NA,NA,NA
"2597","encuestado_1665",NA,"-0.278375738197846",NA,NA,NA,NA,NA,NA
"2598","encuestado_1666",NA,"-0.945006558383722",NA,NA,NA,NA,NA,NA
"2599","encuestado_1667",NA,"-0.184677652594055",NA,NA,NA,NA,NA,NA
"2600","encuestado_1668",NA,"-0.619179549010071",NA,NA,NA,NA,NA,NA
"2601","encuestado_1669",NA,"0.702864757372039",NA,NA,NA,NA,NA,NA
"2602","encuestado_1670",NA,"-1.02177486501108",NA,NA,NA,NA,NA,NA
"2603","encuestado_1671",NA,"-0.341746065774598",NA,NA,NA,NA,NA,NA
"2604","encuestado_1672",NA,"-0.19200993135001",NA,NA,NA,NA,NA,NA
"2605","encuestado_1673",NA,"-0.932211551367176",NA,NA,NA,NA,NA,NA
"2606","encuestado_1674",NA,"-0.749736173572956",NA,NA,NA,NA,NA,NA
"2607","encuestado_1675",NA,"-0.925600089412313",NA,NA,NA,NA,NA,NA
"2608","encuestado_1676",NA,"1.81971976296512",NA,NA,NA,NA,NA,NA
"2609","encuestado_1677",NA,"-0.255875375114385",NA,NA,NA,NA,NA,NA
"2610","encuestado_1678",NA,"1.63690427374612",NA,NA,NA,NA,NA,NA
"2611","encuestado_1679",NA,"-1.00907680034531",NA,NA,NA,NA,NA,NA
"2612","encuestado_1680",NA,"-1.03171405393923",NA,NA,NA,NA,NA,NA
"2613","encuestado_1681",NA,"-0.275613043801684",NA,NA,NA,NA,NA,NA
"2614","encuestado_1682",NA,"-0.881932847917488",NA,NA,NA,NA,NA,NA
"2615","encuestado_1683",NA,"-1.21643442894269",NA,NA,NA,NA,NA,NA
"2616","encuestado_1684",NA,"-0.352816286422429",NA,NA,NA,NA,NA,NA
"2617","encuestado_1685",NA,"-0.593391820377534",NA,NA,NA,NA,NA,NA
"2618","encuestado_1686",NA,"-0.186927636121731",NA,NA,NA,NA,NA,NA
"2619","encuestado_1687",NA,"1.65464080899121",NA,NA,NA,NA,NA,NA
"2620","encuestado_1688",NA,"-0.686506805897498",NA,NA,NA,NA,NA,NA
"2621","encuestado_1689",NA,"-0.363735071389961",NA,NA,NA,NA,NA,NA
"2622","encuestado_1690",NA,"0.818172388742863",NA,NA,NA,NA,NA,NA
"2623","encuestado_1691",NA,"-0.73822545771176",NA,NA,NA,NA,NA,NA
"2624","encuestado_1692",NA,"0.454148062090076",NA,NA,NA,NA,NA,NA
"2625","encuestado_1693",NA,"-1.19392032259215",NA,NA,NA,NA,NA,NA
"2626","encuestado_1694",NA,"-0.123666001930374",NA,NA,NA,NA,NA,NA
"2627","encuestado_1695",NA,"0.91659751055827",NA,NA,NA,NA,NA,NA
"2628","encuestado_1696",NA,"0.708421776039423",NA,NA,NA,NA,NA,NA
"2629","encuestado_1697",NA,"-0.744219532672966",NA,NA,NA,NA,NA,NA
"2630","encuestado_1698",NA,"0.801639355968183",NA,NA,NA,NA,NA,NA
"2631","encuestado_1699",NA,"1.26228105553438",NA,NA,NA,NA,NA,NA
"2632","encuestado_1700",NA,"0.668758619431935",NA,NA,NA,NA,NA,NA
"2633","encuestado_1701",NA,"-0.216081147185633",NA,NA,NA,NA,NA,NA
"2634","encuestado_1702",NA,"-0.383432102343397",NA,NA,NA,NA,NA,NA
"2635","encuestado_1703",NA,"0.509583100045761",NA,NA,NA,NA,NA,NA
"2636","encuestado_1704",NA,"-0.535828887130191",NA,NA,NA,NA,NA,NA
"2637","encuestado_1705",NA,"1.45946074911517",NA,NA,NA,NA,NA,NA
"2638","encuestado_1706",NA,"-0.913141389357882",NA,NA,NA,NA,NA,NA
"2639","encuestado_1707",NA,"1.43707297860397",NA,NA,NA,NA,NA,NA
"2640","encuestado_1708",NA,"-0.22572699767914",NA,NA,NA,NA,NA,NA
"2641","encuestado_1709",NA,"-0.69014889139647",NA,NA,NA,NA,NA,NA
"2642","encuestado_1710",NA,"-0.718972840220621",NA,NA,NA,NA,NA,NA
"2643","encuestado_1711",NA,"1.3888514466923",NA,NA,NA,NA,NA,NA
"2644","encuestado_1712",NA,"-1.05882220438163",NA,NA,NA,NA,NA,NA
"2645","encuestado_1713",NA,"-0.48083110119684",NA,NA,NA,NA,NA,NA
"2646","encuestado_1714",NA,"-0.717411194278209",NA,NA,NA,NA,NA,NA
"2647","encuestado_1715",NA,"0.605148902366055",NA,NA,NA,NA,NA,NA
"2648","encuestado_1716",NA,"-0.16720521293661",NA,NA,NA,NA,NA,NA
"2649","encuestado_1717",NA,"-0.463363682463567",NA,NA,NA,NA,NA,NA
"2650","encuestado_1718",NA,"1.25444002035665",NA,NA,NA,NA,NA,NA
"2651","encuestado_1719",NA,"0.720493323519638",NA,NA,NA,NA,NA,NA
"2652","encuestado_1720",NA,"0.716084075878662",NA,NA,NA,NA,NA,NA
"2653","encuestado_1721",NA,"-0.831622147923963",NA,NA,NA,NA,NA,NA
"2654","encuestado_1722",NA,"0.858167033664697",NA,NA,NA,NA,NA,NA
"2655","encuestado_1723",NA,"0.675148718442951",NA,NA,NA,NA,NA,NA
"2656","encuestado_1724",NA,"-0.929932010850897",NA,NA,NA,NA,NA,NA
"2657","encuestado_1725",NA,"-0.962290415134922",NA,NA,NA,NA,NA,NA
"2658","encuestado_1726",NA,"-0.745046033747682",NA,NA,NA,NA,NA,NA
"2659","encuestado_1727",NA,"-1.11483760347324",NA,NA,NA,NA,NA,NA
"2660","encuestado_1728",NA,"-1.13421237520773",NA,NA,NA,NA,NA,NA
"2661","encuestado_1729",NA,"-0.327630151881043",NA,NA,NA,NA,NA,NA
"2662","encuestado_1730",NA,"-0.647970922088651",NA,NA,NA,NA,NA,NA
"2663","encuestado_1731",NA,"-1.11459678196996",NA,NA,NA,NA,NA,NA
"2664","encuestado_1732",NA,"-1.03555736271823",NA,NA,NA,NA,NA,NA
"2665","encuestado_1733",NA,"-0.814803036425627",NA,NA,NA,NA,NA,NA
"2666","encuestado_1734",NA,"-0.313793340966408",NA,NA,NA,NA,NA,NA
"2667","encuestado_1735",NA,"0.846219926182518",NA,NA,NA,NA,NA,NA
"2668","encuestado_1736",NA,"-0.373273845377174",NA,NA,NA,NA,NA,NA
"2669","encuestado_1737",NA,"-1.24642554897809",NA,NA,NA,NA,NA,NA
"2670","encuestado_1738",NA,"-0.348038218277207",NA,NA,NA,NA,NA,NA
"2671","encuestado_1739",NA,"1.28780796426389",NA,NA,NA,NA,NA,NA
"2672","encuestado_1740",NA,"0.998831173968074",NA,NA,NA,NA,NA,NA
"2673","encuestado_1741",NA,"-0.0921533211350321",NA,NA,NA,NA,NA,NA
"2674","encuestado_1742",NA,"-1.28341841767313",NA,NA,NA,NA,NA,NA
"2675","encuestado_1743",NA,"-0.659942935310305",NA,NA,NA,NA,NA,NA
"2676","encuestado_1744",NA,"0.0720474770650815",NA,NA,NA,NA,NA,NA
"2677","encuestado_1745",NA,"-0.787764057828194",NA,NA,NA,NA,NA,NA
"2678","encuestado_1746",NA,"-0.72574803299988",NA,NA,NA,NA,NA,NA
"2679","encuestado_1747",NA,"-1.02250152780174",NA,NA,NA,NA,NA,NA
"2680","encuestado_1748",NA,"-0.991149007772162",NA,NA,NA,NA,NA,NA
"2681","encuestado_1749",NA,"-0.556714765910752",NA,NA,NA,NA,NA,NA
"2682","encuestado_1750",NA,"-0.499886139831812",NA,NA,NA,NA,NA,NA
"2683","encuestado_1751",NA,"-0.644321687787665",NA,NA,NA,NA,NA,NA
"2684","encuestado_1752",NA,"-1.0395138583369",NA,NA,NA,NA,NA,NA
"2685","encuestado_1753",NA,"-0.622900018571546",NA,NA,NA,NA,NA,NA
"2686","encuestado_1754",NA,"0.997860011499888",NA,NA,NA,NA,NA,NA
"2687","encuestado_1755",NA,"-1.07996902488059",NA,NA,NA,NA,NA,NA
"2688","encuestado_1756",NA,"-0.912054176228636",NA,NA,NA,NA,NA,NA
"2689","encuestado_1757",NA,"1.14158809372947",NA,NA,NA,NA,NA,NA
"2690","encuestado_1758",NA,"-1.48595042818107",NA,NA,NA,NA,NA,NA
"2691","encuestado_1759",NA,"-0.398793556202468",NA,NA,NA,NA,NA,NA
"2692","encuestado_1760",NA,"0.887936771236841",NA,NA,NA,NA,NA,NA
"2693","encuestado_1761",NA,"-0.566940377146021",NA,NA,NA,NA,NA,NA
"2694","encuestado_1762",NA,"-1.12598754167408",NA,NA,NA,NA,NA,NA
"2695","encuestado_1763",NA,"-0.943434360979381",NA,NA,NA,NA,NA,NA
"2696","encuestado_1764",NA,"1.57346130753619",NA,NA,NA,NA,NA,NA
"2697","encuestado_1765",NA,"-0.27631514884053",NA,NA,NA,NA,NA,NA
"2698","encuestado_1766",NA,"-0.739953825916424",NA,NA,NA,NA,NA,NA
"2699","encuestado_1767",NA,"-0.987770716476276",NA,NA,NA,NA,NA,NA
"2700","encuestado_1768",NA,"-0.156869901092019",NA,NA,NA,NA,NA,NA
"2701","encuestado_1769",NA,"-0.931219876388772",NA,NA,NA,NA,NA,NA
"2702","encuestado_1770",NA,"-0.297618831465663",NA,NA,NA,NA,NA,NA
"2703","encuestado_1771",NA,"-0.00264265774221184",NA,NA,NA,NA,NA,NA
"2704","encuestado_1772",NA,"-1.35687078948647",NA,NA,NA,NA,NA,NA
"2705","encuestado_1773",NA,"-0.799814062512413",NA,NA,NA,NA,NA,NA
"2706","encuestado_1774",NA,"-1.43128349318122",NA,NA,NA,NA,NA,NA
"2707","encuestado_1775",NA,"-1.21238552974753",NA,NA,NA,NA,NA,NA
"2708","encuestado_1776",NA,"-0.442625182781733",NA,NA,NA,NA,NA,NA
"2709","encuestado_1777",NA,"1.54566290996256",NA,NA,NA,NA,NA,NA
"2710","encuestado_1778",NA,"-0.927721999810095",NA,NA,NA,NA,NA,NA
"2711","encuestado_1779",NA,"-0.28732290713165",NA,NA,NA,NA,NA,NA
"2712","encuestado_1780",NA,"-0.498642337517825",NA,NA,NA,NA,NA,NA
"2713","encuestado_1781",NA,"-0.906961178255873",NA,NA,NA,NA,NA,NA
"2714","encuestado_1782",NA,"0.898175738877266",NA,NA,NA,NA,NA,NA
"2715","encuestado_1783",NA,"-1.34559780495286",NA,NA,NA,NA,NA,NA
"2716","encuestado_1784",NA,"-1.2744680279209",NA,NA,NA,NA,NA,NA
"2717","encuestado_1785",NA,"-0.616600760380463",NA,NA,NA,NA,NA,NA
"2718","encuestado_1786",NA,"-0.597647253940989",NA,NA,NA,NA,NA,NA
"2719","encuestado_1787",NA,"-0.722686842263816",NA,NA,NA,NA,NA,NA
"2720","encuestado_1788",NA,"-0.92602723585047",NA,NA,NA,NA,NA,NA
"2721","encuestado_1789",NA,"0.809340870190864",NA,NA,NA,NA,NA,NA
"2722","encuestado_1790",NA,"-0.822540491540226",NA,NA,NA,NA,NA,NA
"2723","encuestado_1791",NA,"1.07137902200373",NA,NA,NA,NA,NA,NA
"2724","encuestado_1792",NA,"-0.841489623615218",NA,NA,NA,NA,NA,NA
"2725","encuestado_1793",NA,"0.751722435465981",NA,NA,NA,NA,NA,NA
"2726","encuestado_1794",NA,"-0.644541354200349",NA,NA,NA,NA,NA,NA
"2727","encuestado_1795",NA,"0.0323158912459782",NA,NA,NA,NA,NA,NA
"2728","encuestado_1796",NA,"-0.178507289365791",NA,NA,NA,NA,NA,NA
"2729","encuestado_1797",NA,"-0.638204337911583",NA,NA,NA,NA,NA,NA
"2730","encuestado_1798",NA,"0.62078283261429",NA,NA,NA,NA,NA,NA
"2731","encuestado_1799",NA,"-0.973851041179559",NA,NA,NA,NA,NA,NA
"2732","encuestado_1800",NA,"0.795133254965864",NA,NA,NA,NA,NA,NA
"2733","encuestado_1801",NA,"1.46135756177968",NA,NA,NA,NA,NA,NA
"2734","encuestado_1802",NA,"-0.491848893046815",NA,NA,NA,NA,NA,NA
"2735","encuestado_1803",NA,"-1.31520717271458",NA,NA,NA,NA,NA,NA
"2736","encuestado_1804",NA,"-0.207553527471646",NA,NA,NA,NA,NA,NA
"2737","encuestado_1805",NA,"-0.0481397801215138",NA,NA,NA,NA,NA,NA
"2738","encuestado_1806",NA,"0.708051477413613",NA,NA,NA,NA,NA,NA
"2739","encuestado_1807",NA,"-1.44961342348363",NA,NA,NA,NA,NA,NA
"2740","encuestado_1808",NA,"-0.309532721243682",NA,NA,NA,NA,NA,NA
"2741","encuestado_1809",NA,"-0.801956954478491",NA,NA,NA,NA,NA,NA
"2742","encuestado_1810",NA,"0.903652039952473",NA,NA,NA,NA,NA,NA
"2743","encuestado_1811",NA,"-0.77008688005718",NA,NA,NA,NA,NA,NA
"2744","encuestado_1812",NA,"1.09805040323811",NA,NA,NA,NA,NA,NA
"2745","encuestado_1813",NA,"-1.37402920170538",NA,NA,NA,NA,NA,NA
"2746","encuestado_1814",NA,"-0.0651082861223682",NA,NA,NA,NA,NA,NA
"2747","encuestado_1815",NA,"0.82951812637679",NA,NA,NA,NA,NA,NA
"2748","encuestado_1816",NA,"-0.863749673811231",NA,NA,NA,NA,NA,NA
"2749","encuestado_1817",NA,"-1.0580551155597",NA,NA,NA,NA,NA,NA
"2750","encuestado_1818",NA,"-0.637339062832827",NA,NA,NA,NA,NA,NA
"2751","encuestado_1819",NA,"-0.92006944454866",NA,NA,NA,NA,NA,NA
"2752","encuestado_1820",NA,"0.868334807643496",NA,NA,NA,NA,NA,NA
"2753","encuestado_1821",NA,"-0.972310383374593",NA,NA,NA,NA,NA,NA
"2754","encuestado_1822",NA,"-1.10420621943626",NA,NA,NA,NA,NA,NA
"2755","encuestado_1823",NA,"1.49691576334513",NA,NA,NA,NA,NA,NA
"2756","encuestado_1824",NA,"-0.679141441171674",NA,NA,NA,NA,NA,NA
"2757","encuestado_1825",NA,"-0.983770209316587",NA,NA,NA,NA,NA,NA
"2758","encuestado_1826",NA,"-0.851162228475273",NA,NA,NA,NA,NA,NA
"2759","encuestado_1827",NA,"-0.879925978794569",NA,NA,NA,NA,NA,NA
"2760","encuestado_1828",NA,"-0.66167271118942",NA,NA,NA,NA,NA,NA
"2761","encuestado_1829",NA,"-0.783180104952331",NA,NA,NA,NA,NA,NA
"2762","encuestado_1830",NA,"-1.50060414959324",NA,NA,NA,NA,NA,NA
"2763","encuestado_1831",NA,"-1.09283182062918",NA,NA,NA,NA,NA,NA
"2764","encuestado_1832",NA,"-0.39818080921261",NA,NA,NA,NA,NA,NA
"2765","encuestado_1833",NA,"-0.206008743142288",NA,NA,NA,NA,NA,NA
"2766","encuestado_1834",NA,"-1.04280797238294",NA,NA,NA,NA,NA,NA
"2767","encuestado_1835",NA,"1.52406406930114",NA,NA,NA,NA,NA,NA
"2768","encuestado_1836",NA,"-0.786153306923881",NA,NA,NA,NA,NA,NA
"2769","encuestado_1837",NA,"0.731951575237579",NA,NA,NA,NA,NA,NA
"2770","encuestado_1838",NA,"-1.17764802427119",NA,NA,NA,NA,NA,NA
"2771","encuestado_1839",NA,"-0.924529653466893",NA,NA,NA,NA,NA,NA
"2772","encuestado_1840",NA,"0.763947814521917",NA,NA,NA,NA,NA,NA
"2773","encuestado_1841",NA,"0.956590833890119",NA,NA,NA,NA,NA,NA
"2774","encuestado_1842",NA,"-0.295123394287133",NA,NA,NA,NA,NA,NA
"2775","encuestado_1843",NA,"-0.256513007332328",NA,NA,NA,NA,NA,NA
"2776","encuestado_1844",NA,"-0.275448434724841",NA,NA,NA,NA,NA,NA
"2777","encuestado_1845",NA,"-1.46268073356157",NA,NA,NA,NA,NA,NA
"2778","encuestado_1846",NA,"-1.18022714385178",NA,NA,NA,NA,NA,NA
"2779","encuestado_1847",NA,"-0.133053577005517",NA,NA,NA,NA,NA,NA
"2780","encuestado_1848",NA,"-1.39299937197053",NA,NA,NA,NA,NA,NA
"2781","encuestado_1849",NA,"-0.281714473850253",NA,NA,NA,NA,NA,NA
"2782","encuestado_1850",NA,"-0.70609435829643",NA,NA,NA,NA,NA,NA
"2783","encuestado_1851",NA,"0.933679355702839",NA,NA,NA,NA,NA,NA
"2784","encuestado_1852",NA,"-0.505062743484444",NA,NA,NA,NA,NA,NA
"2785","encuestado_1853",NA,"-0.194788050837517",NA,NA,NA,NA,NA,NA
"2786","encuestado_1854",NA,"0.935389135671099",NA,NA,NA,NA,NA,NA
"2787","encuestado_1855",NA,"-0.220386714344051",NA,NA,NA,NA,NA,NA
"2788","encuestado_1856",NA,"0.950144478795909",NA,NA,NA,NA,NA,NA
"2789","encuestado_1857",NA,"1.43712257449518",NA,NA,NA,NA,NA,NA
"2790","encuestado_1858",NA,"-0.379988415647428",NA,NA,NA,NA,NA,NA
"2791","encuestado_1859",NA,"-0.795205201828882",NA,NA,NA,NA,NA,NA
"2792","encuestado_1860",NA,"-1.42465345351954",NA,NA,NA,NA,NA,NA
"2793","encuestado_1861",NA,"-0.828590560158186",NA,NA,NA,NA,NA,NA
"2794","encuestado_1862",NA,"-0.999868672738447",NA,NA,NA,NA,NA,NA
"2795","encuestado_1863",NA,"-0.627174238483956",NA,NA,NA,NA,NA,NA
"2796","encuestado_1864",NA,"-1.18518677983134",NA,NA,NA,NA,NA,NA
"2797","encuestado_1865",NA,"0.8170431135027",NA,NA,NA,NA,NA,NA
"2798","encuestado_1866",NA,"-0.941870568379187",NA,NA,NA,NA,NA,NA
"2799","encuestado_1867",NA,"-1.17630937904166",NA,NA,NA,NA,NA,NA
"2800","encuestado_1868",NA,"-0.766967545048307",NA,NA,NA,NA,NA,NA
"2801","encuestado_1869",NA,"-0.829083347446614",NA,NA,NA,NA,NA,NA
"2802","encuestado_1870",NA,"-0.0806493797115091",NA,NA,NA,NA,NA,NA
"2803","encuestado_1871",NA,"0.777719749431939",NA,NA,NA,NA,NA,NA
"2804","encuestado_1872",NA,"-0.645829601070507",NA,NA,NA,NA,NA,NA
"2805","encuestado_1873",NA,"-0.70405936098516",NA,NA,NA,NA,NA,NA
"2806","encuestado_1874",NA,"-0.149644229952954",NA,NA,NA,NA,NA,NA
"2807","encuestado_1875",NA,"-0.802896652618557",NA,NA,NA,NA,NA,NA
"2808","encuestado_1876",NA,"-0.411619099081714",NA,NA,NA,NA,NA,NA
"2809","encuestado_1877",NA,"-1.21000755348005",NA,NA,NA,NA,NA,NA
"2810","encuestado_1878",NA,"-0.118306174997197",NA,NA,NA,NA,NA,NA
"2811","encuestado_1879",NA,"-0.519538334778326",NA,NA,NA,NA,NA,NA
"2812","encuestado_1880",NA,"-0.31819430997303",NA,NA,NA,NA,NA,NA
"2813","encuestado_1881",NA,"-0.684822998687895",NA,NA,NA,NA,NA,NA
"2814","encuestado_1882",NA,"1.65637822902046",NA,NA,NA,NA,NA,NA
"2815","encuestado_1883",NA,"0.804814807137334",NA,NA,NA,NA,NA,NA
"2816","encuestado_1884",NA,"0.577180073482944",NA,NA,NA,NA,NA,NA
"2817","encuestado_1885",NA,"-1.24729908862711",NA,NA,NA,NA,NA,NA
"2818","encuestado_1886",NA,"1.21037307386651",NA,NA,NA,NA,NA,NA
"2819","encuestado_1887",NA,"0.887379726906965",NA,NA,NA,NA,NA,NA
"2820","encuestado_1888",NA,"1.12353380627756",NA,NA,NA,NA,NA,NA
"2821","encuestado_1889",NA,"1.87023504870582",NA,NA,NA,NA,NA,NA
"2822","encuestado_1890",NA,"0.770653629455682",NA,NA,NA,NA,NA,NA
"2823","encuestado_1891",NA,"-1.10351886785103",NA,NA,NA,NA,NA,NA
"2824","encuestado_1892",NA,"-0.118557320913391",NA,NA,NA,NA,NA,NA
"2825","encuestado_1893",NA,"0.931481815368323",NA,NA,NA,NA,NA,NA
"2826","encuestado_1894",NA,"-0.102725625526309",NA,NA,NA,NA,NA,NA
"2827","encuestado_1895",NA,"1.5721344209292",NA,NA,NA,NA,NA,NA
"2828","encuestado_1896",NA,"-1.0465134583937",NA,NA,NA,NA,NA,NA
"2829","encuestado_1897",NA,"-0.665257948640534",NA,NA,NA,NA,NA,NA
"2830","encuestado_1898",NA,"-0.639438568393788",NA,NA,NA,NA,NA,NA
"2831","encuestado_1899",NA,"-0.680793325572351",NA,NA,NA,NA,NA,NA
"2832","encuestado_1900",NA,"0.640756433689386",NA,NA,NA,NA,NA,NA
"2833","encuestado_1901",NA,"0.531583472274378",NA,NA,NA,NA,NA,NA
"2834","encuestado_1902",NA,"-0.901442736929642",NA,NA,NA,NA,NA,NA
"2835","encuestado_1903",NA,"-0.138300121354328",NA,NA,NA,NA,NA,NA
"2836","encuestado_1904",NA,"0.989216285145228",NA,NA,NA,NA,NA,NA
"2837","encuestado_1905",NA,"1.02868385764754",NA,NA,NA,NA,NA,NA
"2838","encuestado_1906",NA,"0.638267895088816",NA,NA,NA,NA,NA,NA
"2839","encuestado_1907",NA,"-0.482276508931202",NA,NA,NA,NA,NA,NA
"2840","encuestado_1908",NA,"1.21257391278075",NA,NA,NA,NA,NA,NA
"2841","encuestado_1909",NA,"0.824159380307452",NA,NA,NA,NA,NA,NA
"2842","encuestado_1910",NA,"0.791589490873789",NA,NA,NA,NA,NA,NA
"2843","encuestado_1911",NA,"-1.18369360435748",NA,NA,NA,NA,NA,NA
"2844","encuestado_1912",NA,"1.2830745640224",NA,NA,NA,NA,NA,NA
"2845","encuestado_1913",NA,"-0.804287408066048",NA,NA,NA,NA,NA,NA
"2846","encuestado_1914",NA,"-0.249978253081516",NA,NA,NA,NA,NA,NA
"2847","encuestado_1915",NA,"-0.864823444260846",NA,NA,NA,NA,NA,NA
"2848","encuestado_1916",NA,"-0.453238391047256",NA,NA,NA,NA,NA,NA
"2849","encuestado_1917",NA,"0.927318009904284",NA,NA,NA,NA,NA,NA
"2850","encuestado_1918",NA,"0.846342325839768",NA,NA,NA,NA,NA,NA
"2851","encuestado_1919",NA,"-0.725555889529395",NA,NA,NA,NA,NA,NA
"2852","encuestado_1920",NA,"-0.639657645540906",NA,NA,NA,NA,NA,NA
"2853","encuestado_1921",NA,"-0.70548311463892",NA,NA,NA,NA,NA,NA
"2854","encuestado_1922",NA,"-0.0497842398528802",NA,NA,NA,NA,NA,NA
"2855","encuestado_1923",NA,"-0.719389275057831",NA,NA,NA,NA,NA,NA
"2856","encuestado_1924",NA,"-0.495994631922997",NA,NA,NA,NA,NA,NA
"2857","encuestado_1925",NA,"-1.11426091766856",NA,NA,NA,NA,NA,NA
"2858","encuestado_1926",NA,"0.8410705420098",NA,NA,NA,NA,NA,NA
"2859","encuestado_1927",NA,"0.722847750853906",NA,NA,NA,NA,NA,NA
"2860","encuestado_1928",NA,"-0.845792336096",NA,NA,NA,NA,NA,NA
"2861","encuestado_1929",NA,"-0.796175776327482",NA,NA,NA,NA,NA,NA
